Spiderman
11:21:05
11:24:09
2026-01-15
45.60,22.70
45.42,22.88
45.60,23.06
45.24,23.42
45.06,23.42
45.06,23.60
44.88,23.78
45.06,23.78
45.06,23.60
45.42,23.24
45.60,23.24
45.78,23.42
45.78,23.78
45.96,23.96
45.96,24.14
46.14,24.32
46.14,24.68
46.32,24.86
46.32,25.04
46.68,25.40
46.68,25.58
47.22,26.12
47.22,26.30
50.63,29.71
50.63,29.89
51.35,30.61
51.35,30.97
51.53,31.15
51.53,31.33
51.71,31.51
51.71,31.69
51.89,31.87
51.89,32.05
52.25,32.41
52.25,32.77
52.43,32.95
52.43,34.56
52.25,34.74
52.25,34.92
51.71,35.46
51.53,35.46
51.35,35.64
51.17,35.64
51.35,35.82
51.71,35.46
51.89,35.46
52.25,35.10
52.25,34.74
52.43,34.56
52.43,32.95
52.25,32.77
52.25,32.41
52.07,32.23
52.07,32.05
51.89,31.87
51.89,31.69
51.71,31.51
51.71,31.33
51.53,31.15
51.53,30.97
51.35,30.79
51.35,30.61
51.17,30.43
51.17,30.25
50.63,29.71
50.63,29.53
47.22,26.12
47.22,25.94
46.68,25.40
46.68,25.22
46.32,24.86
46.32,24.68
46.14,24.50
46.14,24.32
45.96,24.14
45.96,23.96
45.78,23.78
45.78,23.24
45.60,23.06
4.27,16.59
4.27,16.77
4.09,16.95
4.09,18.21
4.27,18.39
4.09,18.57
4.99,19.47
5.17,19.47
5.17,19.29
4.99,19.11
5.17,18.93
5.17,18.57
5.35,18.39
5.17,18.21
5.17,18.03
4.99,17.85
4.99,17.67
4.81,17.85
4.63,17.85
4.99,17.85
5.17,18.03
5.17,18.21
5.35,18.39
5.17,18.57
5.17,18.93
4.99,19.11
4.81,19.11
4.27,18.57
4.27,18.39
4.09,18.21
4.09,18.03
4.27,17.85
4.27,17.49
4.09,17.31
4.09,17.13
4.45,16.77
4.45,16.59
40.39,9.59
40.21,9.77
40.21,9.95
40.03,10.12
39.85,9.95
40.03,10.12
40.03,19.29
39.85,19.47
39.85,20.19
39.67,20.37
39.67,21.62
39.49,21.80
39.49,22.16
39.31,22.34
39.31,22.88
39.13,23.06
39.13,23.42
38.95,23.60
38.95,23.96
38.77,24.14
38.77,24.32
38.59,24.50
38.59,24.86
38.41,25.04
38.41,25.58
38.23,25.76
38.23,27.91
38.41,28.09
38.41,28.45
40.21,30.25
40.21,30.43
40.93,31.15
40.93,31.33
41.65,32.05
41.65,32.23
42.19,32.77
42.19,32.95
42.55,33.30
42.55,33.48
42.91,33.84
42.91,34.02
44.34,35.46
44.52,35.46
44.70,35.64
44.70,35.82
44.70,35.46
44.52,35.46
42.91,33.84
42.91,33.66
42.55,33.30
42.55,33.12
42.19,32.77
42.19,32.59
41.65,32.05
41.65,31.87
40.93,31.15
40.93,30.97
40.21,30.25
40.21,30.07
38.41,28.27
38.41,28.09
38.23,27.91
38.23,25.76
38.41,25.58
38.41,25.04
38.59,24.86
38.59,24.68
38.77,24.50
38.77,24.14
38.95,23.96
38.95,23.60
39.13,23.42
39.13,23.06
39.31,22.88
39.31,22.34
39.49,22.16
39.49,21.80
39.67,21.62
39.67,20.37
39.85,20.19
39.85,19.47
40.03,19.29
40.03,10.12
40.57,9.59
41.47,9.59
41.65,9.77
41.83,9.77
42.19,10.12
42.37,10.12
42.55,10.30
42.01,9.77
41.65,9.77
41.47,9.59
54.95,9.23
54.77,9.41
54.41,9.41
54.23,9.59
54.05,9.59
53.51,10.12
53.51,10.30
53.33,10.48
53.33,10.66
53.15,10.84
